age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,class,ONE_attribute,ID_,nothing,naN
19, Private,206874, Assoc-voc,11, Never-married, Adm-clerical, Own-child, Black, Female,0,0,40, United-States, <=50K,one,7038,,
21, Private,83141, HS-grad,9, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,53, United-States, <=50K,one,7039,,
56, Private,444089, 11th,7, Divorced, Sales, Not-in-family, White, Female,0,0,40, United-States, <=50K,one,7040,,
35, Private,141896, 12th,8, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K,one,7041,,
37, Federal-gov,33487, Some-college,10, Divorced, Tech-support, Unmarried, Amer-Indian-Eskimo, Female,0,0,20, United-States, <=50K,one,7042,,
41, Private,65372, Doctorate,16, Divorced, Sales, Unmarried, White, Female,0,0,50, United-States, >50K,one,7043,,
30, Private,341346, 11th,7, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K,one,7044,,
35, Private,343403, Doctorate,16, Married-civ-spouse, Tech-support, Wife, White, Female,0,0,20, ?, <=50K,one,7045,,
47, Private,287480, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K,one,7046,,
59, Self-emp-inc,107287, 10th,6, Widowed, Exec-managerial, Unmarried, White, Female,0,2559,50, United-States, >50K,one,7047,,
55, Private,199067, 11th,7, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,32, United-States, <=50K,one,7048,,
22, ?,182771, Assoc-voc,11, Never-married, ?, Own-child, Asian-Pac-Islander, Male,0,0,20, United-States, <=50K,one,7049,,
31, Private,159737, 10th,6, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K,one,7050,,
30, Private,110643, Masters,14, Married-civ-spouse, Adm-clerical, Husband, White, Male,4386,0,40, United-States, >50K,one,7051,,
24, Private,117583, Bachelors,13, Never-married, Exec-managerial, Own-child, White, Male,0,0,48, United-States, <=50K,one,7052,,
49, Self-emp-not-inc,43479, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K,one,7053,,
23, Private,203003, 7th-8th,4, Never-married, Craft-repair, Not-in-family, White, Male,0,0,25, Germany, <=50K,one,7054,,
50, Private,133963, HS-grad,9, Divorced, Adm-clerical, Unmarried, White, Female,0,0,35, United-States, <=50K,one,7055,,
38, Private,227794, Bachelors,13, Never-married, Adm-clerical, Not-in-family, Black, Male,0,0,40, United-States, <=50K,one,7056,,
20, Self-emp-not-inc,112137, Some-college,10, Never-married, Prof-specialty, Other-relative, Asian-Pac-Islander, Female,0,0,20, South, <=50K,one,7057,,
49, Self-emp-not-inc,110457, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, >50K,one,7058,,
45, Private,281565, HS-grad,9, Widowed, Other-service, Other-relative, Asian-Pac-Islander, Female,0,0,50, South, <=50K,one,7059,,
46, Federal-gov,297906, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,50, United-States, >50K,one,7060,,
19, Private,151506, HS-grad,9, Never-married, Other-service, Own-child, White, Female,0,0,30, United-States, <=50K,one,7061,,
31, Federal-gov,139455, Bachelors,13, Never-married, Exec-managerial, Own-child, White, Female,0,0,40, Cuba, <=50K,one,7062,,
38, Private,26987, HS-grad,9, Divorced, Other-service, Unmarried, White, Female,0,0,40, United-States, <=50K,one,7063,,
56, Self-emp-not-inc,233312, Masters,14, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, >50K,one,7064,,
24, Private,161092, Bachelors,13, Never-married, Exec-managerial, Own-child, White, Male,0,0,40, United-States, <=50K,one,7065,,
58, Local-gov,98361, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, <=50K,one,7066,,
28, Private,188928, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K,one,7067,,
22, Private,164922, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K,one,7068,,
46, Private,185673, HS-grad,9, Divorced, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K,one,7069,,
30, Private,193598, Preschool,1, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,40, Mexico, <=50K,one,7070,,
56, Private,274111, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,45, United-States, >50K,one,7071,,
32, Private,245482, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, Asian-Pac-Islander, Male,0,0,40, ?, <=50K,one,7072,,
56, Private,160932, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,44, United-States, >50K,one,7073,,
50, Private,44368, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K,one,7074,,
28, ?,291374, HS-grad,9, Separated, ?, Unmarried, Black, Female,0,0,30, United-States, <=50K,one,7075,,
30, Private,280927, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K,one,7076,,
24, Private,222993, HS-grad,9, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States, <=50K,one,7077,,
42, Federal-gov,25240, Assoc-voc,11, Divorced, Prof-specialty, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K,one,7078,,
31, Self-emp-not-inc,204052, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K,one,7079,,
18, Private,74054, 11th,7, Never-married, Sales, Own-child, Other, Female,0,0,20, ?, <=50K,one,7080,,
46, Private,169042, 10th,6, Never-married, Other-service, Not-in-family, White, Female,0,0,25, Ecuador, <=50K,one,7081,,
31, Private,104509, Bachelors,13, Never-married, Sales, Not-in-family, White, Female,0,0,65, United-States, >50K,one,7082,,
38, Local-gov,185394, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, White, Female,7688,0,40, United-States, >50K,one,7083,,
44, Local-gov,254146, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K,one,7084,,
55, Self-emp-inc,227856, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,2415,50, United-States, >50K,one,7085,,
19, Private,183041, HS-grad,9, Never-married, Other-service, Own-child, White, Male,0,0,20, United-States, <=50K,one,7086,,
45, Private,107682, Masters,14, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, >50K,one,7087,,
50, Self-emp-inc,287598, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,70, United-States, <=50K,one,7088,,
53, Private,182186, 9th,5, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Dominican-Republic, <=50K,one,7089,,
41, Self-emp-inc,194636, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,99999,0,65, United-States, >50K,one,7090,,
45, Private,112305, Some-college,10, Divorced, Other-service, Unmarried, Black, Female,0,0,40, United-States, <=50K,one,7091,,
21, Private,212661, 10th,6, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,39, United-States, <=50K,one,7092,,
37, Private,32709, Bachelors,13, Married-civ-spouse, Tech-support, Wife, White, Female,0,0,40, United-States, >50K,one,7093,,
42, Federal-gov,46366, HS-grad,9, Separated, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K,one,7094,,
37, Self-emp-not-inc,24106, HS-grad,9, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,30, United-States, <=50K,one,7095,,
46, Private,170850, Bachelors,13, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,1590,40, ?, <=50K,one,7096,,
45, Self-emp-not-inc,40666, Assoc-voc,11, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,60, United-States, <=50K,one,7097,,
32, Private,182975, Some-college,10, Never-married, Tech-support, Not-in-family, White, Female,0,0,20, United-States, <=50K,one,7098,,
30, Private,345122, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, <=50K,one,7099,,
57, ?,208311, Bachelors,13, Married-civ-spouse, ?, Husband, White, Male,0,0,80, United-States, >50K,one,7100,,
37, Private,120045, HS-grad,9, Divorced, Machine-op-inspct, Not-in-family, White, Female,0,0,56, United-States, <=50K,one,7101,,
18, ?,201299, Some-college,10, Never-married, ?, Own-child, White, Female,0,0,40, United-States, <=50K,one,7102,,
32, Private,152940, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K,one,7103,,
43, Private,243580, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K,one,7104,,
46, Private,182128, Masters,14, Divorced, Prof-specialty, Unmarried, White, Female,6497,0,50, United-States, <=50K,one,7105,,
36, ?,176458, HS-grad,9, Divorced, ?, Unmarried, White, Female,0,0,28, United-States, <=50K,one,7106,,
33, Private,101562, Masters,14, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K,one,7107,,
48, Private,108699, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K,one,7108,,
34, Private,175878, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Female,0,0,40, United-States, <=50K,one,7109,,
34, Local-gov,177675, Some-college,10, Never-married, Protective-serv, Not-in-family, White, Male,0,0,50, United-States, >50K,one,7110,,
33, Private,213887, HS-grad,9, Divorced, Farming-fishing, Not-in-family, White, Male,0,0,40, United-States, <=50K,one,7111,,
36, Private,357619, Bachelors,13, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,60, Germany, <=50K,one,7112,,
23, Private,435835, HS-grad,9, Never-married, Sales, Not-in-family, White, Male,0,1669,55, United-States, <=50K,one,7113,,
39, Private,165799, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, <=50K,one,7114,,
22, Private,71469, Assoc-acdm,12, Never-married, Sales, Own-child, White, Female,0,0,25, United-States, <=50K,one,7115,,
19, Private,229745, HS-grad,9, Never-married, Farming-fishing, Own-child, White, Male,0,0,20, United-States, <=50K,one,7116,,
47, Private,284916, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,7298,0,45, United-States, >50K,one,7117,,
46, Private,28419, Assoc-voc,11, Never-married, Transport-moving, Not-in-family, White, Male,0,0,50, United-States, <=50K,one,7118,,
47, Private,26950, Masters,14, Divorced, Sales, Not-in-family, White, Female,0,0,6, United-States, <=50K,one,7119,,
47, Self-emp-not-inc,107231, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,35, United-States, >50K,one,7120,,
52, Local-gov,512103, Some-college,10, Divorced, Transport-moving, Not-in-family, White, Female,0,0,40, United-States, <=50K,one,7121,,
38, Self-emp-not-inc,245090, 9th,5, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Mexico, <=50K,one,7122,,
58, Private,314153, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K,one,7123,,
32, Private,243988, 5th-6th,3, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Mexico, <=50K,one,7124,,
54, Self-emp-not-inc,82551, Assoc-voc,11, Married-civ-spouse, Tech-support, Other-relative, White, Female,0,0,10, United-States, <=50K,one,7125,,
20, Private,42706, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,25, United-States, <=50K,one,7126,,
25, Private,235795, Assoc-acdm,12, Never-married, Sales, Not-in-family, White, Male,0,0,48, United-States, <=50K,one,7127,,
25, Self-emp-not-inc,108001, 9th,5, Never-married, Craft-repair, Not-in-family, White, Male,0,0,15, United-States, <=50K,one,7128,,
36, State-gov,112497, Bachelors,13, Divorced, Prof-specialty, Not-in-family, White, Male,0,1876,44, United-States, <=50K,one,7129,,
69, Self-emp-not-inc,128206, HS-grad,9, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,30, United-States, <=50K,one,7130,,
28, Private,224634, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,45, United-States, >50K,one,7131,,
20, Private,362999, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female,0,0,20, United-States, <=50K,one,7132,,
21, Private,346693, 7th-8th,4, Never-married, Farming-fishing, Unmarried, White, Male,0,0,40, United-States, <=50K,one,7133,,
37, Private,175759, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States, >50K,one,7134,,
21, Private,99199, HS-grad,9, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,32, United-States, <=50K,one,7135,,
25, ?,219987, Assoc-acdm,12, Married-civ-spouse, ?, Husband, White, Male,0,0,13, United-States, <=50K,one,7136,,
39, Private,143445, HS-grad,9, Married-civ-spouse, Other-service, Other-relative, Black, Female,0,0,40, United-States, <=50K,one,7137,,
34, Private,118710, Assoc-voc,11, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, >50K,one,7138,,
33, Local-gov,224185, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K,one,7139,,
47, Private,118972, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States, >50K,one,7140,,
29, Private,165360, Assoc-voc,11, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K,one,7141,,
48, Private,38950, HS-grad,9, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,89, United-States, <=50K,one,7142,,
42, Self-emp-inc,277256, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1977,60, United-States, >50K,one,7143,,
29, Private,247151, 11th,7, Divorced, Machine-op-inspct, Unmarried, White, Female,0,0,40, United-States, <=50K,one,7144,,
34, Private,213722, HS-grad,9, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K,one,7145,,
20, Private,209955, Some-college,10, Never-married, Other-service, Own-child, White, Male,0,0,25, United-States, <=50K,one,7146,,
41, Private,174395, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K,one,7147,,
45, Private,138626, Some-college,10, Divorced, Exec-managerial, Not-in-family, White, Male,0,1876,50, United-States, <=50K,one,7148,,
22, ?,179973, Assoc-voc,11, Never-married, ?, Own-child, White, Male,0,0,40, United-States, <=50K,one,7149,,
23, Private,200207, HS-grad,9, Divorced, Handlers-cleaners, Own-child, White, Male,0,0,44, United-States, <=50K,one,7150,,
19, Private,156587, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female,0,0,38, United-States, <=50K,one,7151,,
24, Private,33016, Some-college,10, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States, <=50K,one,7152,,
20, Private,197496, Some-college,10, Never-married, Sales, Own-child, White, Male,0,0,30, ?, <=50K,one,7153,,
32, Private,153588, HS-grad,9, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K,one,7154,,
52, Private,99736, Masters,14, Divorced, Prof-specialty, Unmarried, White, Male,15020,0,50, United-States, >50K,one,7155,,
36, Private,284166, HS-grad,9, Never-married, Sales, Unmarried, White, Male,0,0,60, United-States, >50K,one,7156,,
18, Private,716066, 10th,6, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,30, United-States, <=50K,one,7157,,
27, Private,188519, HS-grad,9, Divorced, Sales, Own-child, White, Female,0,0,40, United-States, <=50K,one,7158,,
26, Private,109080, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States, <=50K,one,7159,,
52, Private,174421, Assoc-acdm,12, Divorced, Prof-specialty, Unmarried, White, Female,0,0,32, United-States, <=50K,one,7160,,
24, Private,259351, Some-college,10, Never-married, Craft-repair, Unmarried, Amer-Indian-Eskimo, Male,0,0,40, Mexico, <=50K,one,7161,,
42, Federal-gov,284403, HS-grad,9, Divorced, Adm-clerical, Not-in-family, Black, Male,0,0,40, United-States, <=50K,one,7162,,
39, Private,85319, Prof-school,15, Married-civ-spouse, Prof-specialty, Wife, White, Female,7688,0,60, United-States, >50K,one,7163,,
20, ?,201766, Some-college,10, Never-married, ?, Own-child, White, Female,0,0,35, United-States, <=50K,one,7164,,
20, State-gov,340475, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female,0,0,10, United-States, <=50K,one,7165,,
39, Private,487486, HS-grad,9, Widowed, Handlers-cleaners, Unmarried, White, Male,0,0,40, ?, <=50K,one,7166,,
68, ?,484298, 11th,7, Married-civ-spouse, ?, Husband, White, Male,0,0,30, United-States, <=50K,one,7167,,
35, Private,170617, HS-grad,9, Never-married, Machine-op-inspct, Unmarried, Black, Female,0,0,48, United-States, <=50K,one,7168,,
54, Private,94055, Bachelors,13, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States, <=50K,one,7169,,
24, Private,117779, Bachelors,13, Never-married, Exec-managerial, Own-child, White, Male,0,0,40, United-States, <=50K,one,7170,,
24, Private,209770, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,8, United-States, <=50K,one,7171,,
20, Private,317443, Some-college,10, Never-married, Adm-clerical, Own-child, Black, Female,0,0,15, United-States, <=50K,one,7172,,
64, ?,140237, Preschool,1, Married-civ-spouse, ?, Husband, White, Male,0,0,40, United-States, <=50K,one,7173,,
28, Private,107411, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,35, United-States, <=50K,one,7174,,
36, Self-emp-not-inc,122493, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,47, United-States, <=50K,one,7175,,
44, Self-emp-inc,195124, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, ?, <=50K,one,7176,,
38, Private,101978, Some-college,10, Separated, Machine-op-inspct, Not-in-family, White, Male,0,2258,55, United-States, >50K,one,7177,,
22, Private,335453, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,60, United-States, <=50K,one,7178,,
56, Private,318329, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, <=50K,one,7179,,
24, Private,100321, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States, <=50K,one,7180,,
24, Self-emp-not-inc,81145, Some-college,10, Never-married, Other-service, Not-in-family, White, Female,0,0,75, United-States, <=50K,one,7181,,
22, Private,62865, Assoc-acdm,12, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K,one,7182,,
21, Private,176262, Some-college,10, Never-married, Exec-managerial, Own-child, White, Female,0,0,30, United-States, <=50K,one,7183,,
42, Private,168103, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K,one,7184,,
41, Local-gov,208174, Masters,14, Divorced, Prof-specialty, Unmarried, White, Female,0,0,55, United-States, <=50K,one,7185,,
19, Private,188815, HS-grad,9, Never-married, Other-service, Own-child, White, Female,34095,0,20, United-States, <=50K,one,7186,,
67, Self-emp-not-inc,226092, Some-college,10, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,44, United-States, <=50K,one,7187,,
20, Private,212668, Some-college,10, Never-married, Sales, Own-child, White, Female,0,0,30, United-States, <=50K,one,7188,,
32, Private,381583, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Other, Male,0,0,40, United-States, <=50K,one,7189,,
46, Private,239439, HS-grad,9, Separated, Machine-op-inspct, Own-child, Black, Female,0,0,40, United-States, <=50K,one,7190,,
52, Private,172493, HS-grad,9, Never-married, Sales, Not-in-family, White, Female,0,0,36, United-States, <=50K,one,7191,,
44, Private,239876, Bachelors,13, Divorced, Prof-specialty, Unmarried, Black, Male,0,0,40, United-States, <=50K,one,7192,,
65, ?,221881, 11th,7, Married-civ-spouse, ?, Husband, White, Male,0,0,40, Mexico, <=50K,one,7193,,
37, Local-gov,218184, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1887,40, United-States, >50K,one,7194,,
27, Self-emp-not-inc,206889, Some-college,10, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,50, United-States, <=50K,one,7195,,
35, Private,110668, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Wife, Black, Female,0,0,35, United-States, <=50K,one,7196,,
30, Private,211028, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,45, United-States, <=50K,one,7197,,
64, Local-gov,202984, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,3137,0,40, United-States, <=50K,one,7198,,
48, Private,20296, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,37, United-States, >50K,one,7199,,
35, Private,194690, 7th-8th,4, Divorced, Tech-support, Unmarried, White, Female,0,0,40, United-States, <=50K,one,7200,,
28, Self-emp-not-inc,204984, Bachelors,13, Never-married, Tech-support, Not-in-family, White, Male,0,0,45, United-States, <=50K,one,7201,,
63, Self-emp-not-inc,35021, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,1977,32, China, >50K,one,7202,,
40, Self-emp-not-inc,238574, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,55, United-States, >50K,one,7203,,
33, Private,345360, Some-college,10, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K,one,7204,,
40, Private,192381, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States, >50K,one,7205,,
25, Private,479765, 7th-8th,4, Never-married, Sales, Other-relative, White, Male,0,0,45, Guatemala, <=50K,one,7206,,
45, Self-emp-inc,34091, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,38, United-States, >50K,one,7207,,
30, Private,151773, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States, >50K,one,7208,,
53, Private,299080, Some-college,10, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States, <=50K,one,7209,,
63, Private,135339, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, Asian-Pac-Islander, Male,2105,0,40, Vietnam, <=50K,one,7210,,
27, Local-gov,52156, Some-college,10, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,60, United-States, <=50K,one,7211,,
31, Private,318647, 11th,7, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K,one,7212,,
33, Private,80145, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States, <=50K,one,7213,,
39, State-gov,343646, Bachelors,13, Divorced, Protective-serv, Not-in-family, White, Male,0,0,40, Mexico, >50K,one,7214,,
42, Self-emp-not-inc,198692, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, >50K,one,7215,,
19, Private,266635, HS-grad,9, Never-married, Other-service, Own-child, Black, Male,0,0,30, United-States, <=50K,one,7216,,
31, Private,197672, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, <=50K,one,7217,,
53, Private,185846, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K,one,7218,,
47, Self-emp-not-inc,315110, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,20, United-States, <=50K,one,7219,,
27, Private,220754, Doctorate,16, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K,one,7220,,
22, Private,64292, HS-grad,9, Never-married, Tech-support, Not-in-family, White, Female,0,0,40, United-States, <=50K,one,7221,,
29, Private,126060, HS-grad,9, Married-civ-spouse, Sales, Wife, White, Female,0,0,40, United-States, >50K,one,7222,,
52, Private,78012, HS-grad,9, Widowed, Sales, Unmarried, White, Female,0,1762,40, United-States, <=50K,one,7223,,
32, Private,210562, Assoc-voc,11, Divorced, Craft-repair, Own-child, White, Male,0,0,46, United-States, <=50K,one,7224,,
23, Private,350181, HS-grad,9, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States, <=50K,one,7225,,
27, Private,233421, Some-college,10, Never-married, Adm-clerical, Own-child, White, Male,0,0,20, United-States, <=50K,one,7226,,
53, Private,167170, HS-grad,9, Widowed, Machine-op-inspct, Not-in-family, Black, Female,0,0,40, United-States, <=50K,one,7227,,
18, Private,260801, HS-grad,9, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,20, United-States, <=50K,one,7228,,
41, Private,173370, Bachelors,13, Separated, Sales, Unmarried, White, Female,0,0,30, United-States, <=50K,one,7229,,
27, Private,135520, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,0,0,40, Dominican-Republic, <=50K,one,7230,,
30, Private,121308, Some-college,10, Divorced, Sales, Own-child, White, Male,0,0,40, United-States, <=50K,one,7231,,
41, Private,444743, HS-grad,9, Divorced, Tech-support, Unmarried, White, Female,0,0,40, United-States, <=50K,one,7232,,
21, Private,65225, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,30, United-States, <=50K,one,7233,,
58, State-gov,136982, HS-grad,9, Married-spouse-absent, Other-service, Unmarried, Black, Female,0,0,40, Honduras, <=50K,one,7234,,
45, State-gov,271962, Bachelors,13, Divorced, Protective-serv, Not-in-family, White, Female,0,0,40, United-States, <=50K,one,7235,,
40, Private,204046, 10th,6, Divorced, Transport-moving, Own-child, White, Male,0,0,40, United-States, <=50K,one,7236,,
21, Private,225823, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K,one,7237,,
29, Private,183009, Bachelors,13, Never-married, Prof-specialty, Not-in-family, Other, Female,0,1590,40, United-States, <=50K,one,7238,,
50, Private,121038, Assoc-voc,11, Married-civ-spouse, Other-service, Wife, Black, Female,0,0,40, United-States, <=50K,one,7239,,
26, Private,49092, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K,one,7240,,
23, Private,148709, HS-grad,9, Separated, Handlers-cleaners, Other-relative, White, Female,0,0,40, United-States, <=50K,one,7241,,
27, Private,209205, Bachelors,13, Never-married, Tech-support, Own-child, White, Male,0,0,40, United-States, <=50K,one,7242,,
36, Local-gov,285865, Bachelors,13, Never-married, Adm-clerical, Not-in-family, Black, Female,0,0,40, United-States, <=50K,one,7243,,
22, Federal-gov,216129, HS-grad,9, Never-married, Adm-clerical, Other-relative, White, Male,0,0,40, United-States, <=50K,one,7244,,
37, Federal-gov,40955, Some-college,10, Never-married, Other-service, Own-child, White, Male,0,0,40, Japan, <=50K,one,7245,,
54, Private,197189, Bachelors,13, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States, <=50K,one,7246,,
36, Private,33001, HS-grad,9, Divorced, Farming-fishing, Unmarried, White, Male,0,0,50, United-States, <=50K,one,7247,,
44, Private,227399, Assoc-voc,11, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,40, United-States, <=50K,one,7248,,
38, Private,164050, Some-college,10, Married-civ-spouse, Protective-serv, Husband, Black, Male,0,0,40, United-States, >50K,one,7249,,
49, Private,259087, Some-college,10, Divorced, Craft-repair, Not-in-family, White, Female,0,0,40, United-States, <=50K,one,7250,,
18, Private,236262, 11th,7, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,12, United-States, <=50K,one,7251,,
26, Private,177929, Bachelors,13, Never-married, Sales, Not-in-family, White, Male,0,0,48, United-States, <=50K,one,7252,,
48, Private,166929, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,45, ?, >50K,one,7253,,
32, Private,199963, 11th,7, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,0,0,40, United-States, <=50K,one,7254,,
35, State-gov,98776, HS-grad,9, Never-married, Tech-support, Own-child, White, Male,0,0,40, United-States, <=50K,one,7255,,
